volcano_na,latitude,longitude,duration,BTime,ETime
Ulawun,-5.05,151.33,"35",2012/11/06 00:00:00,2012/12/11 00:00:00
Pagan,18.13,145.8,"42",2012/10/30 00:00:00,2012/12/11 00:00:00
Rincon de la Vieja,10.83,-85.324,"0",2012/10/17 00:00:00,2012/10/17 00:00:00
Paluweh,-8.32,121.708,"388",2012/10/08 00:00:00,2013/10/31 00:00:00
Alaid,50.861,155.565,"68",2012/10/05 00:00:00,2012/12/12 00:00:00
Marapi,-0.38,100.474,"0",2012/09/26 00:00:00,2012/09/26 00:00:00
Gamalama,0.8,127.33,"2",2012/09/15 00:00:00,2012/09/17 00:00:00
Lokon-Empung,1.358,124.792,"359",2012/09/15 00:00:00,2013/09/09 00:00:00
San Cristobal,12.702,-87.004,"7",2012/09/08 00:00:00,2012/09/15 00:00:00
Heard,-53.106,73.513,"2774",2012/09/05 00:00:00,2020/04/10 00:00:00
Klyuchevskoy,56.056,160.642,"149",2012/09/01 00:00:00,2013/01/28 00:00:00
Soputan,1.112,124.737,"24",2012/08/26 00:00:00,2012/09/19 00:00:00
Etorofu-Yakeyama [Grozny Group],45.012,147.871,"9",2012/08/16 00:00:00,2012/08/25 00:00:00
Whakaari/White Island,-37.52,177.18,"430",2012/08/07 00:00:00,2013/10/11 00:00:00
Tongariro,-39.157,175.632,"1",2012/08/06 00:00:00,2012/08/07 00:00:00
Monowai,-25.887,-177.188,"1",2012/08/03 00:00:00,2012/08/04 00:00:00
Havre Seamount,-31.08,-179.033,"2",2012/07/17 00:00:00,2012/07/19 00:00:00
Karangetang,2.781,125.407,"479",2012/05/14 00:00:00,2013/09/05 00:00:00
Galeras,1.22,-77.37,"627",2012/05/13 00:00:00,2014/01/30 00:00:00
Sirung,-8.508,124.13,"4",2012/05/08 00:00:00,2012/05/12 00:00:00
Ulawun,-5.05,151.33,"24",2012/05/07 00:00:00,2012/05/31 00:00:00
Witori,-5.576,150.516,"69",2012/05/03 00:00:00,2012/07/11 00:00:00
Masaya,11.985,-86.165,"39",2012/04/30 00:00:00,2012/06/08 00:00:00
Marapi,-0.38,100.474,"78",2012/03/01 00:00:00,2012/05/18 00:00:00
Ruiz,4.892,-75.324,"506",2012/02/22 00:00:00,2013/07/12 00:00:00
Rincon de la Vieja,10.83,-85.324,"55",2012/02/19 00:00:00,2012/04/14 00:00:00
Kanaga,51.923,-177.168,"0",2012/02/18 00:00:00,2012/02/18 00:00:00
Ioto,24.751,141.289,"82",2012/02/10 00:00:00,2012/05/02 00:00:00
Karkar,-4.649,145.964,"0",2012/02/01 00:00:00,2012/02/01 00:00:00
Turrialba,10.025,-83.767,"6",2012/01/12 00:00:00,2012/01/18 00:00:00
Callaqui,-37.92,-71.45,"0",2012/01/02 00:00:00,2012/01/02 00:00:00
Lewotolo,-8.272,123.505,"12",2012/01/02 00:00:00,2012/01/14 00:00:00
Zubair Group,15.05,42.18,"25",2011/12/18 00:00:00,2012/01/12 00:00:00
Kerinci,-1.697,101.264,"0",2011/12/15 00:00:00,2011/12/15 00:00:00
Gamalama,0.8,127.33,"18",2011/12/05 00:00:00,2011/12/23 00:00:00
Tungurahua,-1.467,-78.442,"1571",2011/11/27 00:00:00,2016/03/16 00:00:00
